Ctrl_rep1	Ctrl_rep2	METTL3_KD_rep1	METTL3_KD_rep2
LOC102606465	280	307	296	290
OLFM3	10	7	0	4
COL11A1	1	0	0	1
RNPC3	789	715	321	403
NTNG1	27	29	43	44
VAV3	517	426	339	354
HENMT1	0	0	0	2
STXBP3	4005	3788	3085	3447
GPSM2	1956	1850	1825	1863
KIAA1324	5	9	7	11
SORT1	9566	9754	7247	7499
GNAI3	11916	12464	10864	11163
KCNC4	492	453	602	613
KCNA2	3	9	8	10
CD53	0	0	4	1
TMIGD3	0	0	0	0
RAP1A	4735	4633	3714	3856
KCND3	4	7	3	5
CTTNBP2NL	1815	1877	2238	2446
ST7L	1324	1352	1047	1046
FAM19A3	0	3	1	3
LRIG2	1165	1063	900	875
MAGI3	2023	1811	1689	1675
RSBN1	2346	2296	2502	2438
AP4B1	1166	1138	1200	1253
TRIM33	7121	6644	4370	4558
AMPD1	12	8	10	5
SYCP1	0	0	1	0
TSPAN2	185	237	141	163
CASQ2	0	0	0	0
SLC22A15	145	138	122	119
MAB21L3	4	7	1	1
CD58	405	426	491	438
IGSF3	2984	3342	2883	2897
PTGFRN	6034	6311	6638	6784
LOC101929099	55	43	56	57
VTCN1	0	1	2	1
LINC01525	0	0	0	0
SPAG17	19	7	8	11
LOC101929147	1184	1268	576	634
REG4	1	3	9	2
NOTCH2	14679	14867	8804	8511
NBPF8	364	272	179	169
HIST2H2BA	0	1	0	0
SRGAP2C	472	543	322	326
SRGAP2-AS1	1	0	0	0
SRGAP2D	137	133	66	64
NBPF15	1579	1514	1086	1104
SRGAP2B	263	255	162	189
FAM72D	535	536	358	382
NBPF20	198	144	70	94
GPR89A	608	590	218	235
ANKRD35	1	2	1	2
FMO5	57	53	97	105
LINC00624	1	4	3	3
BCL9	3870	3868	5668	5709
GPR89B	274	272	104	113
NBPF11	475	380	182	168
LOC101927468	0	0	0	0
VPS45	4452	4723	3945	4289
PRPF3	5445	5322	4125	4561
RPRD2	5202	4890	6233	6256
CTSS	0	1	0	0
ARNT	5302	5417	4785	4911
PSMD4	16477	17763	11488	12785
CGN	2628	2577	1869	2005
SNX27	3320	3083	2547	2657
TDRKH	2394	2470	1942	1964
FLG	1	2	1	1
LCE2A	0	0	0	0
INTS3	10236	10221	6752	7115
GATAD2B	4562	4278	4575	4622
TDRD10	1	0	0	0
KCNN3	50	66	99	100
PMVK	2582	2667	2383	2522
LOC100505666	127	125	79	60
ADAM15	4076	4203	2645	2794
FDPS	11990	12682	7220	7911
ASH1L	3520	3052	3978	4063
DAP3	10765	10949	9005	9894
GON4L	3171	3008	2329	2448
ARHGEF2	2885	2791	1986	1864
LMNA	2849	2954	3732	3680
MEF2D	2046	2044	2150	2139
ARHGEF11	3671	3426	2696	2798
FCRL5	0	0	0	0
FCRL3	0	0	0	0
FCRL1	0	0	0	0
LOC105371458	0	0	0	0
KIRREL	2672	2592	2190	2216
OR10K1	0	0	0	0
KCNJ10	35	38	3	8
ATP1A4	0	0	0	1
COPA	17921	19123	16437	16515
CD84	0	0	0	0
CD48	0	0	0	1
LY9	0	0	0	0
NECTIN4	20	25	78	76
FCER1G	4	5	0	1
SDHC	14809	16168	12690	13457
ATF6	5119	5199	4660	4857
OLFML2B	108	89	87	87
NOS1AP	204	183	466	426
SH2D1B	0	0	0	0
DDR2	20	21	21	13
HSD17B7	1582	1536	828	811
RGS5	431	395	319	324
LOC101928404	0	0	0	1
LMX1A	0	0	0	0
RXRG	89	79	59	63
LOC400794	1	0	0	0
FAM78B	21	13	3	8
POGK	6173	6241	3584	3601
MAEL	3	2	16	16
DUSP27	0	0	0	0
POU2F1	3297	2848	2553	2567
CD247	0	1	1	2
RCSD1	0	1	1	0
ADCY10	20	10	16	14
DCAF6	5785	5892	7103	7512
TBX19	52	44	37	37
LINC00970	0	0	0	0
NME7	1719	1715	1293	1377
SLC19A2	2630	2778	1838	1801
SELP	0	0	0	0
KIFAP3	3217	3183	2062	2276
LOC101928650	3	3	3	3
MROH9	1	0	0	0
PRRC2C	24102	20362	15756	15847
VAMP4	1101	1095	448	464
LOC100506023	35	43	30	40
SLC9C2	2	0	0	2
CENPL	1509	1507	1213	1182
RC3H1	2190	1917	1458	1411
RABGAP1L	2010	1928	2541	2840
TNR	0	0	0	0
PAPPA2	4	7	1	2
ASTN1	2	1	0	1
TEX35	0	0	2	0
RALGPS2	3642	3433	3452	3498
FAM20B	5735	5294	3943	4048
ABL2	5719	5431	4071	4059
AXDND1	8	12	12	11
NPHS2	0	0	0	0
CEP350	4681	4021	3073	3183
XPR1	4919	4834	6037	6038
STX6	2771	2941	6206	6519
CACNA1E	3	0	2	0
ZNF648	2	4	7	4
RNASEL	581	605	1052	1089
DHX9	49363	49310	33274	35140
LAMC1	15336	15798	6463	6470
LAMC2	84	110	75	90
NMNAT2	183	171	258	290
ARPC5	9323	9032	6520	7034
RGL1	644	633	862	833
COLGALT2	797	799	1574	1533
FAM129A	146	150	134	153
RNF2	5386	5294	5531	5642
SWT1	622	640	623	665
HMCN1	148	124	96	79
C1orf27	2387	2237	1789	1864
PLA2G4A	2052	2148	1046	1056
LINC01036	3	3	1	3
BRINP3	317	328	232	245
LOC440704	0	0	0	0
TROVE2	2189	1980	2011	1891
CDC73	6013	5807	3156	3164
LINC01031	1	0	1	1
KCNT2	639	658	229	243
CFH	4	9	10	6
CFHR5	1	0	0	0
CRB1	16	10	11	7
DENND1B	1279	1212	887	877
LHX9	71	88	81	95
PTPRC	2	0	0	0
MIR181A1HG	3	2	0	0
NR5A2	183	184	150	159
ZNF281	3197	2832	3706	3859
LOC101929224	7	7	13	12
CAMSAP2	3935	3458	3747	3734
CACNA1S	2	0	4	1
IGFN1	1	0	1	0
NAV1	1252	1081	1292	1258
IPO9-AS1	37	32	10	15
IPO9	14785	14606	13246	13656
LGR6	1	1	5	3
SYT2	127	113	92	99
KDM5B	6897	7040	7103	7223
KLHL12	5800	6131	2666	2862
PPFIA4	90	55	52	54
ADORA1	209	214	322	380
ATP2B4	2868	2940	3694	3563
ZC3H11A	7233	6635	6101	6562
SOX13	977	980	774	839
GOLT1A	1	2	2	2
PLEKHA6	30	28	54	53
NFASC	129	150	211	227
TMCC2	876	894	1066	1024
LEMD1	1	1	2	0
SLC26A9	0	0	0	1
SRGAP2	3361	3263	3235	3449
MAPKAPK2	6018	6221	5069	5254
IL19	0	0	0	0
FCAMR	1	0	0	0
C4BPB	0	0	0	0
CD55	2961	3137	1797	1937
CR2	274	252	382	404
PLXNA2	660	626	561	585
CAMK1G	0	1	0	0
DIEXF	4537	4653	4108	4155
SYT14	71	61	31	24
SERTAD4	540	565	439	442
HHAT	336	371	749	760
RCOR3	1666	1586	1589	1684
LINC00467	335	320	647	627
INTS7	8833	9155	8103	8082
DTL	9933	10272	7470	7630
PPP2R5A	2790	2743	2321	2454
ATF3	2234	2182	1224	1319
NSL1	6332	6099	6814	7129
RPS6KC1	2170	2206	1686	1646
PROX1	321	268	296	314
SMYD2	2929	2962	1461	1503
PTPN14	3397	3088	715	668
KCNK2	0	0	2	1
KCTD3	7594	7358	4633	4846
GPATCH2	1473	1399	622	712
SPATA17	177	161	75	83
TGFB2	60	59	30	21
LOC102723886	2	0	0	1
BPNT1	6002	6003	2556	2853
MARK1	2503	2479	1826	2012
HLX-AS1	3	3	4	11
TAF1A	1008	959	357	397
AIDA	3785	3832	2615	2676
DISP1	622	604	419	415
CAPN8	0	2	6	6
CAPN2	11918	11772	9142	10098
LOC100287497	332	280	282	332
FBXO28	10342	10715	8197	8012
NVL	6247	6150	5329	5606
CNIH3	197	175	157	166
DNAH14	1738	1583	978	1135
ENAH	20161	19136	6815	7198
EPHX1	4114	4258	5567	5727
PARP1	123439	121116	60363	66208
PSEN2	4144	4460	3296	3429
CDC42BPA	6264	5526	5538	5523
ZNF678	1548	1465	2280	2146
WNT9A	40	35	28	35
OBSCN	219	182	314	287
HIST3H2BB	11	18	16	17
RHOU	1545	1613	961	1070
NUP133	20886	21034	12088	12472
GALNT2	12364	12819	12634	12582
PGBD5	1904	1948	1549	1598
TTC13	3497	3516	2031	2130
TRIM67	7	9	8	11
SPRTN	5599	5761	3509	3582
LINC00582	0	0	0	0
PCNX2	1169	1070	1883	1829
SLC35F3	12	14	8	9
RBM34	5819	5847	5309	5811
ARID4B	3642	3169	2806	3013
TBCE	5076	4904	3154	3509
LYST	1128	1051	852	877
NID1	15595	16028	13780	13752
GPR137B	946	964	454	434
EDARADD	706	738	1032	1065
HEATR1	11616	10895	19007	18563
ACTN2	221	185	137	128
MTR	8753	8008	6769	6996
RYR2	61	59	81	98
LOC100130331	2	4	1	1
CHRM3	13	4	7	2
GREM2	20	17	23	15
KMO	1	5	1	1
WDR64	5	3	6	24
BECN2	0	0	0	0
CEP170	5175	4663	2688	2860
AKT3	5511	5549	2529	2592
LOC339529	2	1	1	0
ZBTB18	3614	3368	1994	2040
ADSS	7940	7982	3653	3809
C1orf101	25	23	26	28
COX20	3133	3003	1891	1954
EFCAB2	314	306	368	421
TFB2M	2049	2188	757	784
ZNF670-ZNF695	1	1	0	1
ZNF670	438	395	252	257
OR2L13	0	1	0	0
DDX11L1	0	0	0	0
WASH7P	372	340	209	223
MIR6859-1	5	5	4	2
MIR1302-2	0	0	0	0
FAM138A	0	0	0	1
OR4F5	0	0	0	0
LOC729737	23	16	9	14
MIR6859-2	0	0	0	1
OR4F29	0	0	0	0
LOC100132287	2	2	0	0
LOC101928626	0	0	0	0
MIR6723	23	16	30	17
OR4F16	0	0	0	0
LOC100133331	89	51	57	37
LOC100288069	85	65	35	40
FAM87B	4	3	4	6
LINC00115	48	20	21	19
LINC01128	1428	1494	1092	1114
FAM41C	0	0	0	0
SAMD11	1427	1266	1043	985
NOC2L	18333	18741	10198	10712
KLHL17	514	413	383	291
PLEKHN1	3	2	5	7
PERM1	3	5	5	7
HES4	438	320	316	191
ISG15	94	74	55	69
RNF223	0	0	0	0
C1orf159	556	500	424	368
LINC01342	0	0	0	0
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TNFRSF18	1	1	4	4
TNFRSF4	0	0	0	0
SDF4	5860	5973	4901	4998
B3GALT6	2321	2397	1954	2020
FAM132A	6	3	21	17
UBE2J2	4376	4273	3376	3109
SCNN1D	95	65	74	76
ACAP3	1111	989	441	403
MIR6726	0	0	0	0
CPSF3L	3884	3806	1471	1488
MIR6727	0	0	0	0
CPTP	819	747	972	808
TAS1R3	19	21	8	10
DVL1	3183	2711	1379	1253
MIR6808	0	0	0	0
MXRA8	107	85	44	39
AURKAIP1	6486	6460	4188	4199
CCNL2	2993	2242	1668	1693
LOC148413	1828	1851	1034	1129
MRPL20	7160	7615	5743	5993
ANKRD65	0	2	9	11
TMEM88B	0	0	0	0
LOC102724312	10	12	5	11
ATAD3C	10	0	0	3
ATAD3B	4967	5078	2507	2518
ATAD3A	5006	4745	1722	1654
TMEM240	5	1	3	1
C1orf233	1089	1151	1521	1457
MIB2	402	307	408	318
MMP23B	2	4	2	3
CDK11B	2919	2728	1772	1786
SLC35E2B	4014	4192	2708	2860
MMP23A	0	1	0	0
SLC35E2	449	378	269	278
NADK	4517	4573	2552	2533
CALML6	2	3	0	1
TMEM52	147	173	307	349
GABRD	142	106	133	92
LOC105378591	4	6	6	6
FAAP20	936	782	950	785
SKI	6537	6205	7375	6945
LOC100129534	137	130	26	17
RER1	6193	6270	4800	4850
PEX10	1260	1328	1652	1588
PANK4	2244	2063	1393	1448
HES5	15	9	19	23
LOC115110	1	1	1	1
TNFRSF14	0	3	16	9
LOC100996583	0	1	0	0
FAM213B	1064	1091	1215	1279
ACTRT2	0	0	0	0
LINC00982	42	43	34	28
MIR4251	0	0	0	0
ARHGEF16	218	250	354	379
MIR551A	0	0	0	0
TPRG1L	3366	3853	4862	5214
WRAP73	3433	3578	2908	3036
TP73-AS1	3369	3292	3404	3295
CCDC27	0	2	1	0
SMIM1	36	41	53	51
LRRC47	5671	5599	5088	5265
CEP104	2872	2697	2113	2276
DFFB	1605	1482	1312	1289
C1orf174	2001	1983	1865	1827
LINC01134	27	24	11	13
LINC01346	0	0	0	0
LOC284661	0	0	0	0
MIR4417	0	0	0	0
MIR4689	0	0	0	1
RPL22	29684	30792	26249	29011
LOC102724450	8	3	8	5
RNF207	83	75	31	40
ICMT	19483	21032	15565	15678
LINC00337	140	147	112	118
HES3	1	0	0	0
GPR153	395	408	589	560
HES2	10	6	23	37
ESPN	2	1	5	13
MIR4252	0	0	0	0
TNFRSF25	51	34	28	23
PLEKHG5	308	300	450	423
TAS1R1	2	8	6	6
ZBTB48	1318	1264	942	939
KLHL21	4662	4789	4168	4452
PHF13	3400	3501	4226	4432
THAP3	1162	1139	807	821
LOC100505887	0	0	0	0
VAMP3	10950	11176	4395	4610
PER3	209	195	393	390
UTS2	0	3	1	0
TNFRSF9	8	9	7	11
PARK7	17961	18827	14145	15282
ERRFI1	1791	1730	1725	1692
LOC102724539	0	0	0	0
SLC45A1	10	17	16	11
LOC102724552	0	1	2	0
SNORD128	0	0	0	0
ENO1	214534	233789	122854	133456
MIR6728	0	0	0	2
ENO1-AS1	9	7	23	18
CA6	0	0	0	0
SLC2A7	2	1	3	3
GPR157	86	89	103	86
MIR34A	0	0	0	0
LOC102724571	51	62	326	382
H6PD	911	786	846	856
LOC100506022	42	49	45	66
TMEM201	3183	3001	3261	3024
PIK3CD-AS1	0	0	0	0
PIK3CD-AS2	446	474	460	481
CLSTN1	9993	9952	9810	10123
CTNNBIP1	1572	1658	2569	2659
LZIC	3295	3136	2621	2905
MIR5697	0	0	0	0
RBP7	131	144	145	169
MIR1273D	0	0	0	0
PGD	20648	22244	14869	15878
APITD1	203	179	183	191
APITD1-CORT	4	1	0	1
CORT	7	5	4	2
DFFA	5713	5584	2660	2774
C1orf127	2	0	7	2
TARDBP	22458	23045	13933	15056
MASP2	109	92	50	51
SRM	16917	17172	10391	9928
EXOSC10	8728	8824	5231	5471
LOC105376736	92	77	82	73
MTOR-AS1	0	0	1	1
ANGPTL7	2	1	1	0
UBIAD1	3726	3958	2770	2840
LOC101929181	2	2	5	1
FBXO2	41	56	190	216
FBXO44	870	801	1922	2102
MAD2L2	4473	4562	3773	3996
DRAXIN	0	3	1	4
AGTRAP	3201	3454	3549	3431
C1orf167	2	2	7	12
LOC102724659	1	0	0	0
CLCN6	718	617	480	456
NPPA-AS1	16	12	2	3
NPPA	14	8	4	2
NPPB	1	1	1	0
RNU5E-1	2	2	0	2
KIAA2013	4898	5123	3805	3772
PLOD1	7350	7880	6356	6641
MFN2	18076	19781	11697	12390
MIIP	1089	898	488	514
MIR6729	0	0	0	0
TNFRSF8	5	9	12	8
MIR7846	0	0	0	0
MIR4632	1	1	0	0
SNORA59A	3	3	4	0
MIR6730	0	0	0	0
AADACL4	0	0	0	0
AADACL3	0	0	0	0
C1orf158	0	0	0	0
PRAMEF12	1	1	0	0
PRAMEF1	0	0	0	0
PRAMEF11	0	0	0	0
HNRNPCL1	11	7	3	5
PRAMEF2	0	0	0	0
PRAMEF4	0	0	0	0
PRAMEF10	0	0	0	0
PRAMEF7	0	0	0	0
PRAMEF6	0	0	0	0
PRAMEF27	0	0	0	0
HNRNPCL3	0	0	0	0
PRAMEF25	0	0	0	0
PRAMEF34P	0	0	0	0
HNRNPCL2	0	0	2	0
PRAMEF36P	0	0	0	0
PRAMEF26	0	0	0	0
HNRNPCL4	0	0	0	0
PRAMEF9	0	0	0	0
PRAMEF13	0	0	0	0
PRAMEF18	0	0	0	0
PRAMEF5	0	0	0	0
PRAMEF8	0	0	0	0
PRAMEF33P	0	0	0	0
PRAMEF15	0	0	0	0
PRAMEF14	0	0	0	0
PRAMEF17	0	0	0	0
PRAMEF20	0	0	1	0
